tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_reunion,extra2_inscripcion,extra3_socios,lat,lon
Centro de jubilados,,,C JYP JUAN XXIII,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"SARANDI 1409, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",SARANDI 1409,1251,,ERA 0600241,1993-03-15,80,-34.6159033,-58.3945889
Centro de jubilados,,,C JYP EL PARQUE,CAPITAL FEDERAL,,,CAP FEDERAL,"SANCHEZ DE LORIA 1951, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SANCHEZ DE LORIA 1951,1241,,,1993-03-25,0,,
Centro de jubilados,,,C DE LA 3¦ EDAD DR GUILLERMO MARINELLI,CAPITAL FEDERAL,,,CAP FEDERAL,,,1406,,,1993-03-16,51,,
Centro de jubilados,,,ASOC CIV C JYP AMANECER,CAPITAL FEDERAL,,,CAP FEDERAL,"SEGUI 970, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SEGUI 970,1406,,,1993-05-12,160,,
Centro de jubilados,,,ASOC CIVIL C DE LA 3¦ EDAD ABASTO-ALMAGRO,CAPITAL FEDERAL,,,CAP FEDERAL,"ANCHORENA 481, CAP FEDERAL, CAPITAL FEDERAL, Argentina",ANCHORENA 481,1170,,,1993-05-31,62,,
Centro de jubilados,,,C JYP DR RAMON CARRILLO B§ GEMES VILLA 31 - RETIRO -,CAPITAL FEDERAL,,,CAP FEDERAL,"N§ 5 MZANA 1 CASA 18, CAP FEDERAL, CAPITAL FEDERAL, Argentina",N§ 5 MZANA 1 CASA 18,,,,1993-06-28,30,,
Centro de jubilados,,,C JYP TRAB VITIVINICOLAS Y AFINES,CAPITAL FEDERAL,,,CAP FEDERAL,"AV WARNES 1830, CAP FEDERAL, CAPITAL FEDERAL, Argentina",AV WARNES 1830,1416,,,1993-07-16,44,,
Centro de jubilados,,,C JYP REENCUENTRO,CAPITAL FEDERAL,,,CAP FEDERAL,"BERMUDEZ 3071, CAP FEDERAL, CAPITAL FEDERAL, Argentina",BERMUDEZ 3071,1419,,600456,1993-08-03,89,,
Centro de jubilados,,,C JYP AGRUP MATADEROS,CAPITAL FEDERAL,,,CAP FEDERAL,"ROSARIO 441, CAP FEDERAL, CAPITAL FEDERAL, Argentina",ROSARIO 441,1424,,,1993-08-20,54,,
Centro de jubilados,,,C JYP DE LA RIBERA,CAPITAL FEDERAL,,,CAP FEDERAL,"DEL VALLE IBARLUCEA 1158, CAP FEDERAL, CAPITAL FEDERAL, Argentina",DEL VALLE IBARLUCEA 1158,1160,,,1993-08-20,100,,
Centro de jubilados,,,C JYP LA ESPERANZA,CAPITAL FEDERAL,,,CAP FEDERAL,"24 DE NOVIEMBRE 1967, CAP FEDERAL, CAPITAL FEDERAL, Argentina",24 DE NOVIEMBRE 1967,1242,,,1993-09-22,74,,
Centro de jubilados,,,SUB-COM JYP DE LA ASOC MUTUAL MADRES DE BALVANERA,CAPITAL FEDERAL,,,CAP FEDERAL,"BUSTAMANTE,SANCHEZ D 759, CAP FEDERAL, CAPITAL FEDERAL, Argentina","BUSTAMANTE,SANCHEZ D 759",1173,,,1993-10-01,58,,
Centro de jubilados,,,C JUB SAN JOSE,CAPITAL FEDERAL,,,CAP FEDERAL,"AV BOEDO 548, CAP FEDERAL, CAPITAL FEDERAL, Argentina",AV BOEDO 548,1218,,,1993-10-18,71,,
Centro de jubilados,,,C JYP EJEMPLO DE VIDA,CAPITAL FEDERAL,,,CAP FEDERAL,"ROCA,AV CORONEL 2821, CAP FEDERAL, CAPITAL FEDERAL, Argentina","ROCA,AV CORONEL 2821",1437,,,1993-10-20,60,,
Centro de jubilados,,,C JYP DR RAMON CARRILLO II,CAPITAL FEDERAL,,,CAP FEDERAL,"VARELA 912, CAP FEDERAL, CAPITAL FEDERAL, Argentina",VARELA 912,1406,,,1993-11-02,110,,
