BUENOS AIRES;B;AZUL;30;930200913;GARCIA;AV SARMIENTO 00348;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200852;GOLDRIZ;ALTE BROWN 00385;RAUCH;7203
BUENOS AIRES;B;AZUL;30;930200478;GOMER ARROSPIDE;CALFUCURA Y 3 DE F 00000;BOLIVAR;6550
BUENOS AIRES;B;AZUL;30;930010501;GONZALEZ;COLON Y URQUIZA 00000;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930200433;IGLESIAS;AV VENEZUELA 00546;BOLIVAR;6550
BUENOS AIRES;B;AZUL;30;930201090;IRIGOYEN;AV PRINGLES 02397;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930000211;JUAN MARTIN;AVDA CABRAL 03227;SALADILLO;7260
BUENOS AIRES;B;AZUL;30;930200141;LA BALBO S.C.S.;SAN MARTIN 02190;OLAVARRIA;7403
BUENOS AIRES;B;AZUL;30;930200665;LA GAMA;25 DE MAYO Y SAN M 00000;GRAL LAMAD;7406
BUENOS AIRES;B;AZUL;30;930200369;LACAVE;RIVADAVIA 00719;HENDERSON;6465
BUENOS AIRES;B;AZUL;30;930200560;LAPRIDA;AV PEREYRA 01270;LAPRIDA;7414
BUENOS AIRES;B;AZUL;30;930000132;LARA;TARIGO 01138;ROQUE PERE;7245
BUENOS AIRES;B;AZUL;30;930200989;LARSEN;PELLEGRINI 00875;DAIREAUX;6555
BUENOS AIRES;B;AZUL;30;930010100;LAURENZANO;DIAGONAL ROTETA 00047;PIROVANO;6551
BUENOS AIRES;B;AZUL;30;930200804;LAVIN;PRINGLES 04213;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930000181;LIBERTAD;RIVADAVIA 03158;SALADILLO;7260
BUENOS AIRES;B;AZUL;30;930200014;LISTA;CORTAZAR NRO 1099 00000;CHILLAR;7311
BUENOS AIRES;B;AZUL;30;930010702;LOPEZ;SAN MARTIN 00897;BOLIVAR;6550
BUENOS AIRES;B;AZUL;30;930000408;LOPEZ;SAN MARTIN 00652;AZUL;7300
BUENOS AIRES;B;AZUL;30;930200591;LOPEZ;BALCARCE 00501;PEHUAJO;6450
BUENOS AIRES;B;AZUL;30;930200730;LUCINI;AV PERON 00599;AZUL;7300
BUENOS AIRES;B;AZUL;30;930201007;LUZ Y FUERZA AZUL;25 DE MAYO 00676;AZUL;7300
BUENOS AIRES;B;AZUL;30;930200603;MAFREN;AV SAN MARTIN 00287;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200587;MAGISTRAL;AV SARMIENTO 03001;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930000115;MANGAS;BERRO 00250;ROQUE PERE;7245
BUENOS AIRES;B;AZUL;30;930200372;MANZANO;RIVADAVIA 02103;SALADILLO;7200
BUENOS AIRES;B;AZUL;30;930200883;MANZOTTI;HAROSTEGUY 00315;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930000425;MARCHICIO;SAN MARTIN 00399;AZUL;7300
BUENOS AIRES;B;AZUL;30;930000224;MARCOS;MITRE 02798;SALADILLO;7260
BUENOS AIRES;B;AZUL;30;930010345;MARTEL;ESPAÑA Y GENERAL P 00000;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930010298;MARTINEZ;COLON 03172;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930010468;MENESCALDI;RIVADAVIA 03902;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930200835;MERLO;CANEVA 00534;AZUL;7300
BUENOS AIRES;B;AZUL;30;930010720;MOGUES;CALLE 18 04656;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930200897;MOLINA;SAN MARTIN 00699;GRAL ALVEA;7263
BUENOS AIRES;B;AZUL;30;930000813;MOLLO;RIVADAVIA Y 9 DE J 00000;ROQUE PERE;7245
BUENOS AIRES;B;AZUL;30;930010641;MUTUAL AMMBA;ALTE BROWN 00155;BOLIVAR;6550
BUENOS AIRES;B;AZUL;30;930200062;NIETO;SAN MARTIN 00911;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200931;NUEVA;SAN MARTIN 00193;TAPALQUE;7303
BUENOS AIRES;B;AZUL;30;930200709;OLAVARRIA;NECOCHEA 02762;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930201038;OLIVERA;LEGORBURUG 01214;SIERRA CHI;7401
BUENOS AIRES;B;AZUL;30;930000129;PALLE;9 DE JULIO 00699;TAPALQUE;7303
BUENOS AIRES;B;AZUL;30;930000054;PARENTI;SARGENTO CABRAL 00000;N DE LA RI;6663
BUENOS AIRES;B;AZUL;30;930010070;PASTEUR;GENERAL PAZ 00060;BOLIVAR;6550
BUENOS AIRES;B;AZUL;30;930200634;PASTEUR;AV GRAL PAZ 00461;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200788;PEREIRA;AVELLANEDA 01207;COLONIA HI;1318
BUENOS AIRES;B;AZUL;30;930200481;PEREZ YRIGOYEN;SAN MARTIN 00479;URDAMPILLE;6553
BUENOS AIRES;B;AZUL;30;930000460;PEROGGI;YRIGOYEN 00576;AZUL;7300
BUENOS AIRES;B;AZUL;30;930010376;PICCOLI;PRINGLES 00235;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930200215;QUEVEDO;CALLE 8 00000;HINOJO;7318
BUENOS AIRES;B;AZUL;30;930200229;RUSSO;RIVADAVIA 00371;HENDERSON;6465
BUENOS AIRES;B;AZUL;30;930200201;SALINAS;MITRE 00406;ROQUE PERE;7245
BUENOS AIRES;B;AZUL;30;930200232;SAN CARLOS;FLORIDA 00443;HENDERSON;6465
BUENOS AIRES;B;AZUL;30;930010406;SAN JOSE;PUEYRREDON 03166;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930000068;SAN MARTIN;SARGENTO CABRAL 00436;N DE LA RI;6663
BUENOS AIRES;B;AZUL;30;930200849;SAN MARTIN;AV SAN MARTIN 00567;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200059;SANTA LUCIA;AV PIAZZA 01163;AZUL;7300
BUENOS AIRES;B;AZUL;30;930200416;SANTA ROSA;9 DE JULIO 00763;AZUL;7300
BUENOS AIRES;B;AZUL;30;930000626;SCHIAFINO;SAN MARTIN 01390;CACHARI;7214
BUENOS AIRES;B;AZUL;30;930000099;SCHIAVI;BME MITRE 01257;ROQUE PERE;7245
BUENOS AIRES;B;AZUL;30;930010638;SIND. CERAMISTAS SOE;CORONEL SUAREZ 02211;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930200791;SINDICAL CUEC SALADILLO;AV SAN MARTIN 02960;SALADILLO;7260
BUENOS AIRES;B;AZUL;30;930000831;SINDICAL LUZ Y FUERZ;25 DE MAYO 00675;AZUL;7300
BUENOS AIRES;B;AZUL;30;930200818;SINDICAL SEC DAIREAUX;CHACABUCO 00510;DAIREAUX;6555
BUENOS AIRES;B;AZUL;30;930000491;SIRIS;9 DE JULIO Y BELGR 00000;TAPALQUE;7303
BUENOS AIRES;B;AZUL;30;930000905;SOLE;SARMIENTO 00801;GRAL ALVEA;7263
BUENOS AIRES;B;AZUL;30;930000548;SONCINI;HIPOLITO YRIGOYEN 00650;AZUL;7300
BUENOS AIRES;B;AZUL;30;930200031;SORALUCE;AV SARMIENTO 00549;LAS FLORES;7200
BUENOS AIRES;B;AZUL;30;930200821;STRIEBECK;AV DEL VALLE 03901;OLAVARRIA;7400
BUENOS AIRES;B;AZUL;30;930010097;SUDIRO;BROWN 00300;BOLIVAR;6550
