cod_agencia;cod_ugl;desc_agencia;direccion_agencia;x;y;es_ugl
180.050;18;AGENCIA BERNARDO DE IRIGOYEN;AV. GUACURARI S/Nº ;-53,6426860000;-26,2562760000;0
180.051;18;AGENCIA SAN JAVIER;SARMIENTO Y JACOBO LENUZA MANZANA 116 81 ;-55,1389040000;-27,8718780000;0
180.052;18;AGENCIA SAN PEDRO;ALBERDI 358 ;-54,1132060000;-26,6307910000;0
180.053;18;AGENCIA PUERTO ESPERANZA;ENTRE RIOS 150 ;-54,6151860000;-26,0251070000;0
180.054;18;AGENCIA SAN IGNACIO;SAN MARTIN 253 ;-55,5373550000;-27,2591690000;0
180.055;18;AGENCIA EL SOBERBIO;MORENO 433 ;-54,2000000000;-27,3000000000;0
180.056;18;AGENCIA ARISTOBULO DEL VALLE;PADRE FIEGE 1054 ;-54,8961510000;-27,0978100000;0
180.057;18;AGENCIA SAN JOSE;AVDA. CENTENARIO Y DON BOSCO S/N ;-55,7806060000;-27,7698360000;0
180.058;18;AGENCIA 25 DE MAYO;RIVADAVIA 320 ;-54,7333000000;-27,4667000000;0
180.059;18;AGENCIA CANDELARIA;AVDA. ROQUE GONZALEZ S/Nº ;-55,8333330000;-27,4833330000;0
180.060;18;AGENCIA SANTA ANA;AVDA SAN MARTIN S/Nº ;-55,5833330000;-27,3666670000;0
180.061;18;AGENCIA PUERTO PIRAY;MARCOS PAZ 455 ;0,0000000000;0,0000000000;0
190.000;19;UGL XIX  - SANTIAGO DEL ESTERO;PELLEGRINI 335 ;-64,2593036300;-27,7844852700;1
190.001;19;AGENCIA AÑATUYA;DR. STEMBERG 117 ;-62,8344302000;-28,4626872000;0
190.002;19;AGENCIA FRIAS;BELGRANO  57 ;-65,1300680000;-28,6374930000;0
190.003;19;AGENCIA TERMAS DE RIO HONDO;DORREGO  27 ;-64,8631300000;-27,4908232857;0
190.004;19;AGENCIA FERNANDEZ;INDEPENDENCIA 126 ;-63,9000000000;-27,9166670000;0
190.005;19;AGENCIA LORETO;25 de mayo S/N ;-64,0666670000;-27,8333330000;0
190.006;19;AGENCIA OJO DE AGUA;SAN MARTÍN (POR AHORA) 571 ;-63,6944460000;-29,5012080000;0
190.007;19;AGENCIA QUIMILI;MORENO  220 ;-62,4157480000;-27,6426300000;0
190.008;19;AGENCIA LA BANDA;AV. BELGRANO  158 ;-64,2410770000;-27,7338890000;0
190.050;19;AGENCIA CLODOMIRA;REPUBLICA 634 ;-64,2416514900;-27,7334416900;0
