provincia;ugl;c_ugl;id_farm;nombre_farmacia;direccion;localidad;cp
;TUCUMAN;1;5.335;MUÑECAS;CONGRESO 00011;S M DE TUC;
;TUCUMAN;1;99.000.100.000;NUESTRA SEÑORA DEL V;24 DE SETIEMBRE 00831;BANDA RIO ;
;TUCUMAN;1;99.000.104.002;SANTA TERESITA;SAN MARTIN 00032;LA COCHA  ;
;TUCUMAN;1;99.000.105.009;DEL VALLE;AV PTE PERON 00300;LA REDUCCI;
;TUCUMAN;1;99.000.106.007;UNION;SARMIENTO 00162;FAMAILLA  ;
;TUCUMAN;1;99.000.107.005;LIBERTAD;JUJUY Y GENERAL PA 00000;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.000.110.009;BRAHIM;ALM BROWN 00101;LULES;T4128APQ
TUCUMAN;TUCUMAN;1;99.000.111.007;EL CONDOR;NUEVE DE JULIO 00101;LULES;T4128AZC
TUCUMAN;TUCUMAN;1;99.000.112.005;LULES;BELGRANO 00036;LULES;T4128AVD
TUCUMAN;TUCUMAN;1;99.000.113.003;LIBERTAD;LIBERTAD 00165;LULES     ;T4128AIQ
TUCUMAN;TUCUMAN;1;99.010.116.004;AMERICA;JUNIN 00691;TUCUMAN   ;T4001DYV
;TUCUMAN;1;99.010.118.000;ASUNCION;ASUNCION 00799;S M DE TUC;
;TUCUMAN;1;99.010.120.006;AVENIDA;AVENIDA BELGRANO 02604;S M DE TUC;
;TUCUMAN;1;99.010.122.002;BARBADO;PROSPERO MENA 00575;S M DE TUC;
;TUCUMAN;1;99.010.123.000;BLAS PARERA;BLAS PARERA 00201;S M DE TUC;
;TUCUMAN;1;99.010.125.005;CALCAGNO;FCO DE AGUIRRE 01498;S M DE TUC;
;TUCUMAN;1;99.010.126.003;CENTRAL;AVENIDA AVELLANEDA 00705;S M DE TUC;
;TUCUMAN;1;99.010.129.007;DEL PUEBLO;AVENIDA ALEM 00199;S M DE TUC;
;TUCUMAN;1;99.010.130.005;EJERCITO DEL NORTE;EJERCITO DEL NORTE 00345;S M DE TUC;
;TUCUMAN;1;99.010.131.003;EL CONDOR;ALBERDI 00489;S M DE TUC;
;TUCUMAN;1;99.010.134.007;FLORENCIA;DON BOSCO 02590;S M DE TUC;
;TUCUMAN;1;99.010.135.004;GUEMES;RAUL COLOMBRES 00102;S M DE TUC;
;TUCUMAN;1;99.010.138.008;ITATI;CAMINO DEL PERU 00000;S M DE TUC;
;TUCUMAN;1;99.010.140.004;KENNEDY;PERU 03174;S M DE TUC;
;TUCUMAN;1;99.010.144.006;LA UNION;SAN MARTIN 00623;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.145.003;VALBEN;JUAN LUIS NOUGUES 00112;TUCUMAN   ;T4001IFD
;TUCUMAN;1;99.010.147.009;LOS ANGELES;PASAJE ZUVIRIA 00214;S M DE TUC;
;TUCUMAN;1;99.010.148.007;LOS PINOS;MUÑECAS 02101;S M DE TUC;
;TUCUMAN;1;99.010.149.005;LA MERCED;SANTIAGO 00101;S M DE TUC;
;TUCUMAN;1;99.010.154.005;NAMUNCURA;CORDOBA 00551;S M DE TUC;
;TUCUMAN;1;99.010.155.002;NOROESTE;RIVADAVIA 01989;S M DE TUC;
;TUCUMAN;1;99.010.156.000;NUEVA;LAVALLE 00999;S M DE TUC;
;TUCUMAN;1;99.010.158.006;PRIMAVERA;AVENIDA J B JUSTO 01558;S M DE TUC;
;TUCUMAN;1;99.010.160.002;SAENZ PEÑA;SAENZ PEÑA 00501;S M DE TUC;
;TUCUMAN;1;99.010.163.006;SAN PABLO;SAN MARTIN 00165;S M DE TUC;
;TUCUMAN;1;99.010.169.003;SAGRADO CORAZON;VEINTICINCO DE MAY 00660;SIMOCA    ;
;TUCUMAN;1;99.010.176.008;CONCEPCION;24 DE SETIEMBRE 00048;BANDA RIO ;
;TUCUMAN;1;99.010.177.006;EL MIRADOR;AVENIDA AMERICA 00138;BANDA RIO ;
;TUCUMAN;1;99.010.178.004;LASTENIA;TORNQUIST 00501;LASTENIA  ;
;TUCUMAN;1;99.010.179.002;SANTA ROSA;S/N 00000;STA ROSA D;
TUCUMAN;TUCUMAN;1;99.010.180.000;NOBEL;SAN MARTIN 00102;LULES;T4128ART
TUCUMAN;TUCUMAN;1;99.010.181.008;SAN ANTONIO;LAVALLE 00362;FAMAILLA  ;T4132AJH
;TUCUMAN;1;99.010.184.002;DEL CARMEN;BELGRANO 00000;TAFI DEL V;
TUCUMAN;TUCUMAN;1;99.010.188.003;ÑUÑORCO;COLON 00635;MONTEROS  ;T4142AFO
;TUCUMAN;1;99.010.191.007;SANTO DOMINGO;ESPAÑA 01298;CONCEPCION;
TUCUMAN;TUCUMAN;1;99.010.193.003;SAN MARTIN;SAN MARTIN 01795;CONCEPCION;T4146BDO
TUCUMAN;TUCUMAN;1;99.010.196.006;SANTA LUCIA;VELEZ SARSFIELD 00881;AGUILARES ;T4152AFY
TUCUMAN;TUCUMAN;1;99.010.198.002;SAN MARTIN;SAN MARTIN 00270;BELLA VIST;T4168APF
;TUCUMAN;1;99.010.199.000;PASTEUR;VEINTICINCO DE MAY 00501;SIMOCA    ;
;TUCUMAN;1;99.010.200.006;VEINTICINCO DE MAYO;VEINTICINCO DE MAY 00400;SIMOCA;
;TUCUMAN;1;99.010.201.004;LA MADRID S H;AVELLANEDA 00000;LAMADRID;
;TUCUMAN;1;99.010.202.002;EXODO;RIVADAVIA 00344;ALDERETE  ;
;TUCUMAN;1;99.010.205.005;SAN PABLO;AV SAN MARTIN 00084;SAN PABLO ;
;TUCUMAN;1;99.010.208.009;CURIA;GOMEZ LLUECA 00693;SIMOCA    ;
TUCUMAN;TUCUMAN;1;99.010.209.007;SANTA RITA;COLON 00077;MONTEROS  ;T4142AFC
;TUCUMAN;1;99.010.212.001;DARVICH;AVENIDA BELGRANO 03236;S M DE TUC;
;TUCUMAN;1;99.010.213.009;MATE DE LUNA;MATE DE LUNA 01798;S M DE TUC;
;TUCUMAN;1;99.010.215.004;LOS ALPES;AVENIDA ROCA 02515;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.216.002;SIERRA;RIVADAVIA 00106;MONTEROS;T4142CAV
;TUCUMAN;1;99.010.217.000;ALBA;AVENIDA SARMIENTO 00955;S M DE TUC;
;TUCUMAN;1;99.010.222.000;DEL BOSQUE;ITALIA 01802;S M DE TUC;
;TUCUMAN;1;99.010.226.001;SUR;AV ROCA 00199;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.231.001;DEL PUEBLO;AVENIDA ALEM 00160;TAFI VIEJO;T4103CNP
TUCUMAN;TUCUMAN;1;99.010.232.009;LOS ANDES;AVENIDA ALEM 00049;TAFI VIEJO;T4103CNK
;TUCUMAN;1;99.010.233.007;SAN LUIS;SAN MARTIN 00345;SIMOCA    ;
;TUCUMAN;1;99.010.234.005;BERMUDEZ;D PADRE MONTI 00236;S M DE TUC;
;TUCUMAN;1;99.010.235.002;SAN ISIDRO;SARMIENTO 00000;LOS SARMIE;
;TUCUMAN;1;99.010.236.000;INDEPENDENCIA;INDEPENDENCIA 00000;LA COCHA  ;
;TUCUMAN;1;99.010.239.004;NIEVES;AVDA INDEPENDENCIA 02614;S M DE TUC;
;TUCUMAN;1;99.010.241.000;SAGITARIO;AV ROCA 01722;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.242.008;MARTIN;24 DE SETIEMBRE 02476;CONCEPCION;T4146CCJ
TUCUMAN;TUCUMAN;1;99.010.245.001;DEL ROSARIO;25 DE MAYO 00252;MONTEROS  ;T4142ART
;TUCUMAN;1;99.010.246.009;COSTA;S/N 00000;VILLA CARM;
;TUCUMAN;1;99.010.247.007;ORIHUEL;AV MITRE 00871;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.250.001;DEL INCA;CAMINO DEL PERU 00228;YERBA BUEN;T4107CBS
;TUCUMAN;1;99.010.251.009;ARCOS;VILLA FIAD 00000;INGENIO LE;
;TUCUMAN;1;99.010.253.005;ASTURIAS;SANTIAGO 00497;S M DE TUC;
;TUCUMAN;1;99.010.256.008;DEL VALLE;JUAN JOSE PASO 00159;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.257.006;TORRES;UTTINGER 00102;TAFI VIEJO;T4103CQF
;TUCUMAN;1;99.010.261.008;DE LA ROSA;AV INDEPENCIA 00390;BANDA RIO ;
;TUCUMAN;1;99.010.262.006;SAN LUIS;ROLDAN Y AVELLANED 00000;RIO SECO  ;
;TUCUMAN;1;99.010.263.004;SAN ROQUE;S/N 00000;V DE LEALE;
;TUCUMAN;1;99.010.265.009;RIO SALI;BENJ A Y M BRAVO 00000;S M DE TUC;
;TUCUMAN;1;99.010.266.007;ADRI;LAMADRID 00269;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.267.005;SAN JOSE;JUAN B ALBERDI 00116;AGUILARES;T4152CAJ
;TUCUMAN;1;99.010.268.003;NTRA SRA DE FATIMA;CALLE 27 Y 10 00000;V MARIANO;
;TUCUMAN;1;99.010.270.009;FLORIDA;FLORIDA 00059;SANTA ANA;
;TUCUMAN;1;99.010.271.007;PANACEA;MORENO 00801;S M DE TUC;
;TUCUMAN;1;99.010.272.005;LINCOLN;PJE SIN NOMBRE 03161;S M DE TUC;
;TUCUMAN;1;99.010.275.008;NINO;FCO DE A ESQ ALBER 00000;S M DE TUC;
;TUCUMAN;1;99.010.276.006;SANTA ANA;CHACABUCO 00491;S M DE TUC;
;TUCUMAN;1;99.010.279.000;JERUSALEM;SALTA 00298;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.281.006;SANTA ELENA;AV ALEM 00342;TAFI VIEJO;T4103CNV
TUCUMAN;TUCUMAN;1;99.010.282.004;ZARZOZA;AV ACONQUIJA 02275;YERBA BUEN;T4107EBL
;TUCUMAN;1;99.010.283.002;EMI;AV AMERICA Y SARMI 00000;LASTENIA  ;
;TUCUMAN;1;99.010.285.007;LAS SALINAS SCS;RUTA 305 KM 16/2 00000;LAS SALINA;
TUCUMAN;TUCUMAN;1;99.010.286.005;SAN JORGE;ALBERDI 00218;BELLA VIST;T4168AQH
;TUCUMAN;1;99.010.288.001;ZILMAN;AV MITRE 00668;S M DE TUC;
;TUCUMAN;1;99.010.292.003;CLAUDIA;JUJUY 00245;S M DE TUC;
;TUCUMAN;1;99.010.293.001;DEL MILAGRO;RIVADAVIA Y S MART 00000;CONCEPCION;
;TUCUMAN;1;99.010.294.009;SAN FRANCISCO DE ASI;STA MA DE ORO 00007;COLOMBRES;
;TUCUMAN;1;99.010.295.006;MIRTA;ESPAÑA 00271;S M DE TUC;
;TUCUMAN;1;99.010.296.004;DIVINA MISERICORDIA;AV GUEMES 00000;VILLA QUIN;
;TUCUMAN;1;99.010.299.008;SUAREZ;NTRA SRA DEL CARM 00000;DELFIN GAL;
TUCUMAN;TUCUMAN;1;99.010.302.000;GEDER;BELGRANO 00299;LULES     ;T4128AZI
;TUCUMAN;1;99.010.303.008;GENESIS S.C.S.;AV EJ DEL NORTE 00770;S M DE TUC;
;TUCUMAN;1;99.010.305.003;NORY;R GRAL SAN MARTIN 00095;LOS GUTIER;
;TUCUMAN;1;99.010.306.001;ANDALUCIA;AV SARMIENTO 00739;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.314.005;SANTO DOMINGO;AV SILVANO BORES 00200;TUCUMAN;T4000MPX
TUCUMAN;TUCUMAN;1;99.010.315.002;CENTRAL;COLON 00041;MONTEROS  ;T4142AFC
;TUCUMAN;1;99.010.316.000;SERRAVALLA;LAS PIEDRAS 01443;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.319.004;MAILIN;SAN MARTIN 00382;LULES     ;T4128ARZ
;TUCUMAN;1;99.010.320.002;GANIN;M C C28 BSUTIAG 00000;S M DE TUC;
;TUCUMAN;1;99.010.324.004;SANTA ROSA;SAN MARTIN 00011;LEON ROUGE;
;TUCUMAN;1;99.010.326.009;VASOVI SCS;CONGRESO 00514;JUAN B ALB;
;TUCUMAN;1;99.010.327.007;ANDREA;CONGRESO 00820;S M DE TUC;
;TUCUMAN;1;99.010.328.005;SANTA RITA;AV EVA PERON 00181;LASTENIA  ;
;TUCUMAN;1;99.010.329.003;SOEME;MAN 7 L5 00000;LAS TALITA;
;TUCUMAN;1;99.010.330.001;CRISOSTOMO;CRISOSTOMO ALVAREZ 00413;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.332.007;SANTA MARIA;BELGRANO 00275;MONTEROS  ;T4142AAQ
TUCUMAN;TUCUMAN;1;99.010.335.000;ALVEZ;SALAS Y VALDEZ 00243;YERBA BUEN;T4107AMY
;TUCUMAN;1;99.010.336.008;VICTORIA;MENDOZA 00121;S M DE TUC;
;TUCUMAN;1;99.010.337.006;DAMIR;JUJUY 00274;S M DE TUC;
;TUCUMAN;1;99.010.338.004;PLAZOLETA;AV LIBANO 00987;S M DE TUC;
;TUCUMAN;1;99.010.340.000;NTRA SRA DE MONSERRA;MB C 43 B VIAL 00000;S M DE TUC;
;TUCUMAN;1;99.010.342.006;IRIANZO;LA PLATA 00770;S M DE TUC;
;TUCUMAN;1;99.010.345.009;NASER;SANTIAGO 01826;S M DE TUC;
;TUCUMAN;1;99.010.348.003;ROCIO;AV EJ DEL NORTE 00603;S M DE TUC;
;TUCUMAN;1;99.010.349.001;SANTA RITA;CALLE 4 00347;V. MARIANO;
TUCUMAN;TUCUMAN;1;99.010.353.003;GALENICA;AV ACONQUIJA 02177;YERBA BUEN;T4107EBJ
TUCUMAN;TUCUMAN;1;99.010.357.004;SAN PABLO;SAN MARTIN 01538;CONCEPCION;T4146BBX
;TUCUMAN;1;99.010.358.002;DEL SEÑOR JESUS;EJERCITO DEL NORTE 00175;S M DE TUC;
;TUCUMAN;1;99.010.359.000;ELY;AV COLON 00186;S M DE TUC;
;TUCUMAN;1;99.010.362.004;AMARILLO;CATAMARCA 00018;S M DE TUC;
;TUCUMAN;1;99.010.366.005;SANTA CRUZ;AV INDEPENDENCIA 01622;S M DE TUC;
;TUCUMAN;1;99.010.372.003;CAMILA;SAN MARTIN 00101;S M DE TUC;
;TUCUMAN;1;99.010.376.004;UNIVERSAL;JUAN L NOUGUES 00398;S M DE TUC;
;TUCUMAN;1;99.010.377.002;MACARENA;25 DE MAYO 2DA CUA 00000;SP DE COLA;
;TUCUMAN;1;99.010.380.006;NTRA. SRA. DE LA CON;SAN JUAN 01114;S M DE TUC;
;TUCUMAN;1;99.010.381.004;SAGRADO CORAZON;BME MITRE 00406;FAMAILLA  ;
;TUCUMAN;1;99.010.382.002;BENJAMIN ARAOZ;AV BENJAMIN ARAOZ 01101;S M DE TUC;
;TUCUMAN;1;99.010.383.000;SAN MIGUEL;SAN MARTIN 00099;LEON ROUGE;
;TUCUMAN;1;99.010.386.003;ACCESO NORTE;AV REP DEL LIBANO 02501;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.387.001;BERNY;PEDRO DE VILLALBA 00499;YERBA BUEN;T4107EIW
;TUCUMAN;1;99.010.390.005;SAN JORGE;CRISTO REY 00440;MANANTIAL ;
TUCUMAN;TUCUMAN;1;99.010.402.008;SAN MIGUEL;AVDA MITRE 00755;AGUILARES;T4152ABG
TUCUMAN;TUCUMAN;1;99.010.403.006;ITALIA;ITALIA 01274;CONCEPCION;T4146CWL
;TUCUMAN;1;99.010.404.004;PHARMA FONIO;SAN MARTIN LOC 3 00623;S M DE TUC;
;TUCUMAN;1;99.010.405.001;SANTA RITA;HIMNO PATRIO 00000;RIO SECO;
;TUCUMAN;1;99.010.407.007;JURAMENTO;GDOR GUTIERREZ 01095;S M DE TUC;
;TUCUMAN;1;99.010.409.003;DEL JARDIN;AV SIRIA 01299;S M DE TUC;
;TUCUMAN;1;99.010.410.001;SAN CAYETANO;AV HIMNO PATRIO 00133;RIO SECO;
;TUCUMAN;1;99.010.413.005;LUJAN;AV MITRE 00802;S M DE TUC;
;TUCUMAN;1;99.010.417.006;MARTIN;AV GDOR DEL CAMPO 00904;S M DE TUC;
;TUCUMAN;1;99.010.418.004;MIXTURA;MUQECAS 01797;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.424.002;TURI;BELGRANO 00203;LULES     ;T4128AZG
TUCUMAN;TUCUMAN;1;99.010.428.003;LA UNION YERBA BUENA;AV ACONQUIJA 01931;YERBA BUEN;T4107EBF
TUCUMAN;TUCUMAN;1;99.017.810.005;FARMACIA GABY;AV ALEM 00449;TAFI VIEJO;T4103CNY
TUCUMAN;TUCUMAN;1;99.017.867.005;CRISTO OBRERO;AV PERU SUR 01048;TAFI VIEJO;T4103AXL
;TUCUMAN;1;99.017.925.001;ELINA;BOLIVAR 00560;S M DE TUC;
;TUCUMAN;1;99.017.937.006;GALVEZ;AV COLON 00293;S M DE TUC;
;TUCUMAN;1;99.017.947.005;TRANCAS;IRIGOYEN 00000;TRANCAS;
;TUCUMAN;1;99.017.966.005;13 DE FEBRERO;CASTRO BARROS 00236;S M DE TUC;
;TUCUMAN;1;99.018.165.003;MODERNA;INDEPENDENCIA 00210;BANDA RIO ;
;TUCUMAN;1;99.018.226.003;SANTA ISABEL;LAVALLE 00655;FAMAILLA;
;TUCUMAN;1;99.018.238.008;DIVINA GRACIA;B SAN MARTIN MZA D 00001;SAN MIGUEL;
;TUCUMAN;1;99.018.292.005;SAN ROQUE;SAN MARTIN 00016;LOS RALOS;
;TUCUMAN;1;99.018.294.001;COLONIAL;MEJICO 00575;S M DE TUC;
;TUCUMAN;1;99.018.296.006;AMERICANA;AV LAS AMERICAS 01555;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.018.373.003;ALEM;AVENIDA ALEM 00568;TAFI VIEJO;T4103CTD
;TUCUMAN;1;99.018.390.007;PASEO DEL PARQUE;AV SOLDATI 00086;S M DE TUC;
;TUCUMAN;1;99.018.400.004;MAIPU;MAIPU 00174;S M DE TUC;
;TUCUMAN;1;99.018.401.002;SAN BENITO;RIVADAVIA 00915;ALDERETES;
;TUCUMAN;1;99.018.406.001;ARGENTINA;AVENIDA ROCA 00663;S M DE TUC;
;TUCUMAN;1;99.018.407.009;AZUL;BUENOS AIRES 00514;S M DE TUC;
;TUCUMAN;1;99.018.412.009;INTEGRAL;MIGUEL CAMPERO 00000;STA ROSA D;
TUCUMAN;TUCUMAN;1;99.018.530.008;SOLANO VERA;AV SOLANO VERA 00980;YERBA BUEN;T4107BKX
;TUCUMAN;1;99.018.600.009;SUIPACHA;SUIPACHA 00488;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.018.975.005;LALU;RECONQUISTA 00363;TAFI VIEJO;T4103CEO
;TUCUMAN;1;99.019.006.008;SIGLO XXI;AV ALEM 00298;S M DE TUC;
;TUCUMAN;1;99.019.052.002;DEL SOL;MATHEU 01945;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.019.066.002;SANTA RITA;SAN MARTIN 00089;LULES     ;T4128AXC
;TUCUMAN;1;99.019.155.003;SANTA ROSA;AVENIDA MITRE 01954;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.019.200.007;SAN JOAQUIN;AV LIBERTADOR 00565;BURRUYACU ;T4119AAO
TUCUMAN;TUCUMAN;1;99.019.246.000;9 DE JULIO;9 DE JULIO 00402;TAFI VIEJO;T4103BIF
;TUCUMAN;1;99.019.342.007;PAULINO;9 DE JULIO 00802;S M DE TUC;
;TUCUMAN;1;99.019.421.009;ALAMINO;CORDOBA 00140;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.019.480.005;SANTA BARBARA SCS;AV SARMIENTO 00800;AGUILARES ;T4152AHR
TUCUMAN;TUCUMAN;1;99.019.527.003;SAN JOSE;BELGRANO 00103;CONCEPCION;T4146BRQ
;TUCUMAN;1;99.019.580.002;SAN CAMILO;CORDOBA 01373;S M DE TUC;
;TUCUMAN;1;99.019.616.004;RIVADAVIA;RIVADAVIA 01499;S M DE TUC;
;TUCUMAN;1;99.019.636.002;ANITA;PASO DE LOS ANDES 01296;S M DE TUC;
;TUCUMAN;1;99.019.746.009;RAMIS;MENDOZA 02525;S M DE TUC;
;TUCUMAN;1;99.019.819.004;DEL PUEBLO CENTRO;MAIPU 00027;S M DE TUC;
;TUCUMAN;1;99.019.830.001;SILOE;CRISOSTOMO ALVAREZ 00960;S M DE TUC;
;TUCUMAN;1;99.019.880.006;SAN MARTIN;AYACUCHO 00599;S M DE TUC;
;TUCUMAN;1;99.019.881.004;SANTIAGO;RIVADAVIA 00498;S M DE TUC;
;TUCUMAN;1;99.019.897.000;BOERO;PTE ROCA Y MHAIME 00000;CONCEPCION;
;TUCUMAN;1;99.019.991.001;IMPERIAL;DORREGO Y N LAGUNA 00000;BANDA RIO ;
TUCUMAN;TUCUMAN;1;99.020.064.004;SAN ISIDRO;SAN MARTIN 00299;LULES     ;T4128ARU
;TUCUMAN;1;99.020.370.005;MARIA DEL ROSARIO;BRO GRAFICO II 00000;LAS TALITA;
;TUCUMAN;1;99.020.450.005;MARICEL;JUNIN 01280;S M DE TUC;
;TUCUMAN;1;99.020.528.008;INGENIO FLORIDA;JOSE MARIA CANDAZO 00000;LA FLORIDA;
;TUCUMAN;1;99.020.557.007;MATIAS;AV ROCA 01989;S M DE TUC;
;TUCUMAN;1;99.020.798.007;DEL ALJIBE;S MARTIN ESQ INDE 00000;BANDA RIO;
TUCUMAN;TUCUMAN;1;99.020.820.009;ALONSO;MORENO 01487;CONCEPCION;T4146BFA
TUCUMAN;TUCUMAN;1;99.020.822.005;SAN NICOLAS;GARCIA FERNANDEZ 00327;BELLA VIST;T4168AUA
;TUCUMAN;1;99.020.882.009;LA SALUD;MENDOZA 03185;S M DE TUC;
;TUCUMAN;1;99.020.929.008;VILLAFAÑE;BELGRANO 00000;EL MANANTI;
;TUCUMAN;1;99.020.931.004;D'ANDREA;SAENZ PEQA 00923;TAFI VIEJO;
;TUCUMAN;1;99.020.933.000;EL LEON;JUNIN 00291;S M DE TUC;
;TUCUMAN;1;99.020.989.002;COSTANERA;LOLA MORA 00349;S M DE TUC;
;TUCUMAN;1;99.021.065.000;SAN JOSE;SAN LORENZO 00000;V QUINTERO;
TUCUMAN;TUCUMAN;1;99.021.271.004;SAN LORENZO;AV BELGRANO 03592;TUCUMAN;T4000CDJ
;TUCUMAN;1;99.021.272.002;DEL PUENTE;AV MATE DE LUNA 02101;S M DE TUC;
;TUCUMAN;1;99.021.735.008;AUXILIADORA;CORRIENTES 00064;S M DE TUC;
;TUCUMAN;1;99.022.304.002;DEL PUEBLO PLAZA;LAPRIDA 00003;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.022.401.006;ANCLA;AV JUAN B JUSTO 00924;TUCUMAN;T4000LLH
;TUCUMAN;1;99.022.524.005;DEL PIAMONTE;AV BELGRANO 01862;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.022.607.008;JOSEFINA;9 DE JULIO 00326;TAFI VIEJO;T4103BHN
;TUCUMAN;1;99.022.609.004;PHARMA FONIO BARRIO NORTE;25 DE MAYO 00497;S M DE TUC;
;TUCUMAN;1;99.022.692.000;AMERICA II;AV BELGRANO 02696;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.022.728.002;SAN JOSE;ITALIA 00249;LULES;T4128ADW
;TUCUMAN;1;99.022.732.004;TUCUMAN;LAPRIDA 00260;S M DE TUC;
;TUCUMAN;1;99.022.736.005;CATEDRAL DE FACOR SRL;24 DE SEPTIEMBRE 00546;S M DE TUC;
;TUCUMAN;1;99.022.788.006;MAGISTRAL;MEXICO 02898;S M DE TUC;
;TUCUMAN;1;99.022.795.001;DE LA ROSA CENTRO;9 DE JULIO 00214;BANDA RIO ;
TUCUMAN;TUCUMAN;1;99.022.930.004;ROCA;AV ROCA 00250;TUCUMAN   ;T4000MFN
TUCUMAN;TUCUMAN;1;99.022.981.007;CATEDRAL III;MAIPU 00052;TUCUMAN   ;T4001GGG
TUCUMAN;TUCUMAN;1;99.022.984.001;CATEDRAL II DE FACOR;SAN MARTIN 00565;TUCUMAN   ;T4000HRK
TUCUMAN;TUCUMAN;1;99.022.986.006;DEL PUEBLO VEINTICINCO;25 DE MAYO 00313;TUCUMAN   ;T4000ILI
TUCUMAN;TUCUMAN;1;99.023.023.007;LA UNION DEL MERCADO;MAIPU 00198;TUCUMAN   ;T4001GGI
TUCUMAN;TUCUMAN;1;99.023.104.005;LA UNION BARRIO NORTE;25 DE MAYO 00653;TUCUMAN   ;T4000IRU
TUCUMAN;TUCUMAN;1;99.023.528.005;PARQUE;BALCARCE 00459;TUCUMAN   ;T4000NIY
;TUCUMAN;1;99.023.602.008;SANTA INES;BO STA INES MZ F L 00001;ALDERETES;
;TUCUMAN;1;99.023.603.006;SAN FRANCISCO;AV HIPOLITO YRIGOY 00390;TRANCAS   ;
TUCUMAN;TUCUMAN;1;99.023.607.007;PRIMAVERA NORTE;MONTEAGUDO 00602;TUCUMAN   ;T4001HSM
;TUCUMAN;1;99.023.673.009;FIORE;BO TELEFONICO MZ H 00015;YERBA BUEN;
;TUCUMAN;1;99.023.699.004;SAN JOSE;SAN MARTIN Y RIVAD 00000;FAMAILLA  ;
TUCUMAN;TUCUMAN;1;99.023.965.009;FAVALORO;CATAMARCA 00189;TUCUMAN   ;T4000PLM
;TUCUMAN;1;99.024.005.003;BARRIO CONGRESO;BO CONGRESO MZ K 1 02056;SAN MIGUEL;
TUCUMAN;TUCUMAN;1;99.024.007.009;NURI;LIZONDO BORDA 00085;TUCUMAN;T4000OOE
TUCUMAN;TUCUMAN;1;99.024.105.001;SAN VICENTE;AV AMERICA 01383;TUCUMAN   ;T4001IUO
TUCUMAN;TUCUMAN;1;99.024.239.008;LUMAHE;SANTA FE 01602;TUCUMAN   ;T4000HZR
TUCUMAN;TUCUMAN;1;99.024.242.002;LA ESQUINA;SARGENTO CABRAL 02050;TUCUMAN   ;T4000IJV
;TUCUMAN;1;99.024.245.005;YERBA BUENA;PERON Y CON DEL PE 00021;YERBA BUEN;
;TUCUMAN;1;99.024.330.005;LA FARMACIA;SARMIENTO Y RUTA 3 00000;CHAÑAR    ;
TUCUMAN;TUCUMAN;1;99.024.343.008;PALIHUE;SAN MARTIN 04229;TUCUMAN   ;T4000HUK
;TUCUMAN;1;99.024.344.006;ROCA;AV ROCA OESTE 00445;TAFI VIEJO;
TUCUMAN;TUCUMAN;1;99.024.367.007;SAN VALENTIN;24 DE SEPTIEMBRE 01498;CONCEPCION;T4146BVH
;TUCUMAN;1;99.024.368.005;MARIA ESTHER;AV PRINCIPAL 00000;CRUZ ALTA ;
;TUCUMAN;1;99.024.369.003;FEPUT;BO FEPUT MZ B C 10 00000;S M DE TUC;
;TUCUMAN;1;99.024.433.007;MARTINIANA;AV DORREGO 00298;BANDA RIO ;
;TUCUMAN;1;99.024.436.000;ATLAS;9 DE JULIO 00283;S M DE TUC;
;TUCUMAN;1;99.024.442.008;ALEJANDRO;AV LIBERTADOR CUAD 00002;SANTA LUCI;
TUCUMAN;TUCUMAN;1;99.024.443.006;PRAVIA;AV ALEM 00366;TAFI VIEJO;T4103CNV
TUCUMAN;TUCUMAN;1;99.024.446.009;SAN ISIDRO;JUJUY 03255;TUCUMAN   ;T4001DXL
TUCUMAN;TUCUMAN;1;99.024.449.003;SANTA RITA II;CALLE 12 00767;LAS TALITA;T4101AYE
TUCUMAN;TUCUMAN;1;99.024.451.009;DEL PUEBLO COLON;AV COLON 00596;TUCUMAN   ;T4000JBN
TUCUMAN;TUCUMAN;1;99.024.453.005;SISA;CHILE 01616;TUCUMAN   ;T4000QCJ
;TUCUMAN;1;99.024.572.002;VALENTINA;BELGRANO 00156;LA RAMADA ;
;TUCUMAN;1;99.024.573.000;SAN JOAQUIN;ASUNCION 00299;S M DE TUC;
