nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
CENTRO JYP DE VILLA BENJAMIN ARAOZ;RUTA 304 KM 55;S/N;BENJAMIN ARAOZ;BURRUYACU;24;4119;1;2;LUN. A VIE. 17 A 20 HS.;08-nov-90;144;11-jun-13;B° ISLAS MALVINAS CASA 11 N°0;13-Dec-90;11-nov-12;11-nov-14
C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ;SIN NOMBRE ;5;ESTACION ARAOZ;LEALES;24;4119;1;1;LUN. A VIE. 16 A 20 HS.;  -   -;91;22-feb-08;;01-jun-01;07-sep-11;07-sep-13
CENTRO DE JYP NAC DE EL CHAÑAR;AV SAN CAYETANO;S/N;EL CHANAR;BURRUYACU;24;4117;1;1;LUNES A VIERNES 8 A 12;18-feb-88;500;22-jul-08;;15-jun-88;31-mar-12;31-mar-14
C JYP NAC GDOR GARMENDIA;ALFREDO BULLOT;S/N;GOBERNADOR GARMENDIA;BURRUYACU;24;4187;1;1;LUN. A VIE. 8 A 12 HS.;14-sep-93;150;10-jun-13;;14-Jan-94;21-oct-12;21-oct-14
C JYP NAC 20 DE JUNIO;9 DE JULIO;397;LA RAMADA;BURRUYACU;24;4119;1;8;LUN. A VIE. 7 A 11 HS.;06-nov-90;245;28-jun-12;;04-Jan-93;04-mar-11;04-mar-14
C JYP NAC 7 DE ABRIL;PRINCIPAL;S/N;7 DE ABRIL;BURRUYACU;24;4195;1;8;LUNES 9 A 13 HS.;18-may-93;70;17-oct-12;;11-Jan-94;09-jul-12;09-jul-14
CENTRO AMISTAD 3ª EDAD Bº ECHEVERRIA Y VILLA MUÑECAS;JUAN LUIS NOUGUES;2251;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;3;LUN. A MIE. 8 A 12 HS.;12-Dec-91;60;18-oct-11;;10-nov-92;30-Apr-11;30-Apr-14
C JYP NAC INDEPENDENCIA;LA PLATA;757;TUCUMAN;S.M. DE TUCUMAN;24;4000;1;3;L-MA-J 17 A 20 HS;12-nov-83;480;19-sep-13;;23-may-84;05-Jan-13;05-Jan-17
ASOC JYP DE COMERCIO Y ACTIV CIVILES;GRAL. PAZ;976;TUCUMAN;CAPITAL;24;4000;1;5;MAR. Y VIE. 18:30/21 HS.;07-Aug-83;694;07-nov-13;;15-Aug-85;10-Dec-12;10-may-15
C JYP CERVECEROS DE TUCUMAN;ESPAÑA;971;TUCUMAN;CAPITAL;24;4000;1;7;MARTES 18 HS.;14-Aug-86;87;29-mar-10;;08-sep-87;30-Apr-11;30-may-15
MOVIMIENTO MUJERES FRATERNALES 2 DE MAYO;LAS PIEDRAS;248;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. MIE. VIE. 8 A 12 HS.;02-may-86;300;21-feb-13;;21-sep-87;16-jul-10;16-jul-14
CIRC DE JYP DE LA UNIVERSIDAD NAC DE TUCUMAN;LAS PIEDRAS;1257;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;LUN. Y VIE.  17 A 20 HS.;18-Apr-86;480;11-jul-13;;21-mar-88;12-mar-13;12-mar-15
C JYP DE LUZ Y FUERZA;PIEDRAS (1º PISO);348;TUCUMAN;CAPITAL;24;4000;1;9;L-M Y V 8 A 11/30;04-jun-49;48;29-mar-10;;21-jun-88;23-oct-09;23-oct-13
JYP C MANUEL DE ESTRADA DE VILLA LUJAN;PJE. RECONQUISTA;549;TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 16 A 20 HS.;01-jul-89;209;13-jul-12;;28-feb-90;28-Apr-12;28-Apr-16
C JYP NAC BARRIO GENTE DE PRENSA;GRAL PAZ ;2777;S M DE TUCUMAN;CAPITAL;24;4000;1;1;JUEVES 16:30 HS.;29-oct-89;300;30-Apr-10;;21-mar-90;30-may-12;30-may-15
C JYP TELEFONICOS DE TUCUMAN;SALTA;34;TUCUMAN;CAPITAL;24;4000;1;2;LU A VI 8 A 12 HS;01-jun-90;197;05-sep-12;;16-nov-90;30-Apr-12;30-Apr-16
C JYP SARGENTO CABRAL;COLOMBIA;2259;TUCUMAN;SAN MIGUEL DE TUCUMAN;24;4000;1;1;LUNES 14 A 21 HS.;29-sep-90;180;10-jul-13;;03-Jan-91;18-Apr-13;30-Apr-15
CENTRO DE JYP NAC VILLA MUÑECAS NORTE;FRANCISCO DE AGUIRRE;3245;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;8;1º Y ULTIMO VIERN DEL MES;30-jul-90;105;23-mar-10;;23-Apr-91;11-Aug-10;11-Aug-13
C JYP NAC Y MUN DE ATE;SILVANO BORES ;28;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LU A VI 8 A 12 HS;25-oct-90;247;17-oct-07;;17-may-91;04-Aug-11;04-Aug-15
C JYP FERROVIARIOS 8 DE DICIEMBRE; PASAJE ZAVALETA ;4339;Bº FERROVIARIO;CAPITAL;24;4000;1;1;LUN. A VIE. 8 A 12 HS.;08-may-91;324;09-Aug-12;;28-may-91;22-jun-12;22-jun-16
C JYP DEL AUTOTRANSP DE PAS DE TUCUMAN;BENJAMIN VILLAFAÑE ;1532;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;L A V 17 A 20 HS;01-mar-89;300;02-sep-13;;06-Jan-93;17-mar-13;17-mar-15
C JYP EL PORVENIR;ALBERTO ROUGES;1722;SAN  MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;JUE 8 A 11;07-Jan-93;334;19-sep-13;;31-mar-93;23-mar-13;23-mar-15
C JYP NAC 17 DE JULIO SAN CAYETANO;RICARDO ROJAS Y G. SAL;400;SAN CAYETANO;CAPITAL;24;4000;1;2;LUN. A VIE. 9 A 12 HS.;17-jul-93;250;19-oct-11;;14-Apr-94;30-Apr-12;30-Apr-14
C JYP NAC ROSAS Y JAZMINES Bø N AVELLANEDA;LIBERTAD ;1437;S MS DE TUCUMAN;CAPITAL;24;4000;1;0;MA Y VI 16/30 A 20 HS;18-feb-94;165;20-sep-13;;18-jul-94;28-oct-12;28-oct-14
C JYP NAC  UNIDOS;JOSE MANUEL ESTRADA  ;2660;S.M. DE TUCUMAN;CAPITAL;24;4000;1;0;SIN DATO;02-Dec-94;200;08-jul-13;;17-may-95;16-jul-12;16-jul-14
C JYP NAC LAS VICTORIAS;PJE VIEYTEN;2062;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;9;MENSUALES;26-Dec-94;430;03-Aug-12;;19-oct-95;30-mar-13;30-mar-15
C JYP VILLA AMALIA;BENJAMIN LAVAISSE;314;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. A VIE. 10 A 12 HS.;08-Apr-95;125;07-sep-12;;20-oct-95;07-jun-12;05-Dec-15
C JYP NAC AMISTAD LUZ Y VIDA;RAUL COLOMBRES;72;SAN  MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. MIE. VIE.18 A 20 HS.;29-nov-94;152;16-oct-12;;20-oct-95;30-Apr-12;30-Apr-14
C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN;LUCAS CORDOBA;390;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 16 A 20 HS.;09-Jan-98;240;12-jul-12;;20-may-98;27-Apr-12;27-Apr-16
"C JYP NAC ""RENACER""";PJE COMANDANTE ROSALES;1366;S. MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;LU Y vie 8/11;10-oct-97;230;18-jul-12;;25-jun-98;10-oct-11;10-oct-13
C JYP NACIONALES DE VILLA ANGELINA;ANTONIO P.PALAVECINO;820;SM.DE TUCUMAN;CAPITAL;24;4000;1;5;SIN DATO;08-Aug-98;89;18-nov-13;;06-oct-98;24-mar-13;24-mar-15
FED DE JYP FERROVIARIOS Y DEMAS LEYES NACIONALES;JUJUY;1148;S.M.TUCUMAN;CAPITAL;24;4000;1;5;;14-mar-98;6;12-Aug-05;;23-Dec-98;14-may-05;14-jun-09
C DE JYP. NAC. DEL MILAGRO;PJE, LAMADRID ;539;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LU A VIE 8/12 Y 16/20 HS;19-oct-98;700;13-Apr-07;;14-Jan-99;24-jun-09;24-jun-11
FED DE CENTROS DE JYP NAC UNION DE SAN MIGUEL DE TUCUMAN;SANTA FE;2644;S.M.DE TUCUMAN;CAPITAL;24;4000;1;7;QUINCENAL;30-oct-98;49;03-mar-09;;20-jul-99;30-sep-07;30-sep-10
CENTRO DE JYP NAC SAN JAVIER;SANTA FE ;2644;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;3;MIERCOLES 18 HS. (CD);20-Aug-99;300;10-Dec-07;;25-may-00;20-Aug-12;20-Aug-14
ASOC. DE AMIGOS JUB. Y PENS. NAC.;SANTIAGO DEL ESTERO;1124;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. A VIE. 19 A 21 HS.;19-may-99;180;19-sep-13;;17-jul-00;17-may-13;19-may-15
CENTRO DE JUB. Y PENS. MEJORT TUCUMAN;9 DE JULIO;775;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;MIE 14/18;20-mar-00;300;20-oct-11;;17-jul-00;30-Apr-11;30-Apr-15
CLUB DE ABUELOS JUVENTUD, ALEGRIA, VIDA.;SAN LORENZO;1283;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;LUN. MIE. VIE. 8/10:30 HS;30-mar-97;1000;14-Jan-13;;03-Apr-01;13-sep-12;30-Apr-13
CENTRO DE JYP UN LUGAR EN EL MUNDO;FLORENTINO AMEGHINO;53;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;JUEVES 9 A 21 HS.;07-sep-98;169;25-oct-11;;01-jun-01;21-jul-11;21-jul-13
"CTRO DE JYP NAC. ""UNION AMISTAD Y VALOR""";COLOMBIA;463;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;V 8-12 Y 17-20 HS;23-Jan-02;300;12-jul-12;;27-Aug-01;23-Jan-12;23-Jan-14
CENTRO DE JYP EL SUD VIVE;JUANA AZURDUY;467;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;JUE 18/20;15-Apr-03;70;19-sep-13;;12-jun-03;25-oct-10;25-oct-13
CTRO DE JUBILADOS CIUDADELA;GENERAL PAZ ;1856;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;8;LUN. A VIE. 17 A 20;20-Aug-01;70;06-nov-06;;23-jun-03;20-Aug-11;20-Aug-12
FEDERACION DE CENTROS DE JYP NACIONALES 20 DE SETIEMBRE;CONGRESO;245;S. M. DE TUCUMAN;CAPITAL;24;4000;1;5;2º MARTES DEL MES 10 HS.;07-may-02;18;23-Apr-07;;30-jul-03;13-nov-06;13-nov-08
ASOC. CIVIL CTRO. DE JYP. OCTUBRE;BALCARCE;1663;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;LU A VIE 18 A 20;03-sep-04;35;05-may-09;;05-Jan-05;04-Apr-11;04-Apr-13
ASOC. CTRO. DE JYP. NAC., PROV. O MUNICIPALES SAN EXPEDITO;BOLIVAR;2611;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;LUN. MAR. JUE.17 A 20 HS.;10-feb-04;150;18-oct-11;;05-Jan-05;10-feb-11;10-feb-13
"ASOC CIVIL ""CLUB ABUELOS BARRIO EL BOSQUE""";SANTIAGO DEL ESTERO;1658;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;MARTES 18 A 21 HS.;04-feb-05;50;23-oct-12;;18-oct-05;04-feb-12;04-feb-14
CENTRO DE JYP NACIONALES SAN  FRANCISCO;TORRES POSEE ;1420;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LU MIE VIE;02-jun-05;108;31-Aug-09;;27-feb-06;29-jun-09;29-jun-13
CTRO. DE JYP MARIA REINA DE LA PAZ ASOC. CIVIL;SAN LORENZO;3435;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;CADA 15 DIAS;27-Aug-05;100;07-nov-13;;02-mar-05;15-jul-13;15-jul-17
CENTRO DE JYP DE YPF TUCUIMAN;PASAJE SOROL  ;335;S.M.DE TUCUMAN;CAPITAL;24;4000;1;5;LU A VIE 14/20;15-Dec-05;300;17-oct-11;;12-sep-06;21-Aug-10;21-Aug-14
ASOCIACION CIVIL CENTRO TUCUMANO UNIDO DE ADULTOS MAYORES;12 DE OCTUBRE ;1859;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;MAR. VIE. 16:30 A 20 HS.;30-mar-05;53;12-mar-12;;01-nov-07;30-mar-11;30-mar-14
CENTRO RECREATIVO CIUDAD HISTORICA PARA JUB. , PENS. Y 3ª EDAD;PJE. LUIS SAENZ PEÑA;3091;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;S / DATO;28-Aug-06;300;28-Aug-06;VIAMONTE;13-nov-07;27-jun-09;28-Aug-14
 CENTRO DE LA TERCERA EDAD - TUCUMAN ASOCIACION CIVIL ;PJE. MAGALLANES  CASA 36;2500;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;S / DATO;11-Apr-06;53;23-mar-10;B° SEOC;18-jul-08;11-Apr-10;11-Apr-14
CTRO DE JYP AMISTAD 20 DE JULIO;LAPRIDA;2041;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;MIE. Y JUE. 18 A 19 HS.;01-Apr-08;245;21-feb-13;;12-mar-09;23-jul-12;23-Dec-14
CLUB DE ABUELOS Bº LOS PINOS;EMILIO CASTELAR;777;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 8 A 12 HS.;03-Dec-02;50;05-sep-12;;24-Aug-09;02-Aug-10;03-Dec-12
ASOCIACION CIVIL CENTRO UNIDO DE RECREACION DE JYP;LAPRIDA;1916;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;S/ DATO;23-sep-09;102;19-may-10;;19-may-10;23-sep-09;23-sep-12
CENTRO DE JYP NAC. Y PROV. FRANCISCO DE AGUIRRE ASOCIACION CIVIL;PJE. MARCONI;1760;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;27-Apr-10;76;18-oct-11;;23-mar-11;27-Apr-11;27-Apr-14
CENTRO DE JYP NACIONALES Y PROVINCIALES DEL Bª SAN MARTIN;HORACIO POVIÑA;870;SAN MIGUEL DE TUCUMAN;SAN MIGUEL DE TUCUMAN;24;4000;1;2;S/ DATO;05-Aug-10;51;17-may-11;BARRIO SAN MARTIN;17-may-11;05-Aug-10;05-Aug-12
ASOC. CIVIL CTRO. DE JYP COMUNIDAD EN ORGANIZACION;AMERICO VESPUCIO;1050;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;07-Jan-11;50;17-oct-11;;19-jul-11;17-may-11;17-may-15
ASOC. CIVIL CTRO. DE JYP ESTHER PADILLA;LARREA;2543;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;S/ DATO;16-feb-11;50;20-jul-11;;20-jul-11;16-feb-11;16-feb-13
ASOC. DE ATLETAS VETERANOS HIPODROMO DE TUCUMAN;AV. IRINEO LEGUIZAMO;800;SAN MIGUEL DE TUCUMAN;SAN MIGUEL DE TUCUMAN;24;4000;1;0;S/ DATO;30-Apr-08;60;21-oct-11;;21-oct-11;30-Apr-12;30-Apr-14
ASOC. CIVIL CTRO. DE JYP 7 DE MAYO;CORDOBA;838;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;3;S/ DATO;25-mar-12;50;19-nov-12;;19-nov-12;31-Dec-11;31-Dec-14
CTRO. DE JYP NAC. Y PROV. UNIDOS PARA SIEMPRE ASOC. CIVIL;PJE. LARRETA;2248;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;02-jul-12;50;21-Jan-13;;21-Jan-13;02-jul-12;31-Dec-16
ASOC. CIVIL CTRO. DE JYP JUSTO JUEZ;JUAN LUIS NOGUES;2251;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;S/ DATO;03-oct-12;60;22-may-13;;22-may-13;03-oct-12;03-oct-15
ASOC. CIVIL CTRO. DE JYP NAC., PROV. Y MUNICIPALES DE TUCUMAN;MZNA. H BLOCK 2 LOCAL 12;S/N;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;29-nov-11;60;19-jul-13;BARRIO OESTE II;19-jul-13;29-nov-11;29-nov-14
CTRO. DE J. JOVENES AYER, HOY Y SIEMPRE ASOC. CIVIL;MZNA. F - BLOCK 2 DPTO. 2;S/N;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;15-Aug-12;60;29-nov-13;B° OESTE II;29-nov-13;15-Aug-12;31-Dec-13
ASOC. CIVIL CTRO. DE VETERANOS DE GUERRA DE MALVINAS JYP;PJE. MONTEVIDEO;2091;SAN MIGUIEL DE TUCUMAN;CAPITAL;24;4000;1;5;S/ DATO;27-sep-09;53;25-nov-10;;25-nov-10;27-sep-10;27-sep-11
C JYP NAC MARIANO MORENO;CALLE 8 ;375;V. M. MORENO;TAFI VIEJO;24;4101;1;1;SIN DATO;12-nov-94;249;19-sep-13;;01-mar-95;30-Apr-13;26-Apr-14
C JYP DE ALDERETES;ARTURO ILLIA;110;ALDERETES;CRUZ ALTA;24;4178;1;2;LUN MIE VIE 17 A 20 HS.-;29-sep-84;220;27-jun-12;;02-Jan-85;12-mar-11;12-mar-14
CENTRO DE JUB. Y PENS. NAC. CAMINEMOS JUNTOS;BLAS PARERA 1ª CUADRA;S/N;ALDERETES;CRUZ ALTA;24;4178;1;0;MI 18 HS EN ADEL;28-mar-00;115;27-jun-12;;18-Aug-00;28-mar-11;28-mar-13
C JYP NAC DE CIUDAD BANDA DEL RIO SALI;25 DE MAYO ;250;BANDA DEL RIO SALI;CRUZ ALTA;24;4109;1;5;LUN A VIE DE 8 A 12 HS.-;02-oct-82;500;12-jul-12;;30-Apr-84;30-mar-12;30-mar-14
C JYP NAC SANTO CRISTO;SAN MIGUEL;746;BANDA RIO SALADO;CRUZ ALTA;24;4109;1;8; VIERNES 19 A  21 HS.;29-mar-92;163;11-jul-13;;09-jun-92;04-jun-13;30-Apr-15
CENTRO DE JYP COLOMBRES - CRUZ ALTA;SAN MARTIN;S/N;COLOMBRES;CRUZ ALTA;24;4111;1;2;LUN. A VIE. 9 A 11 HS.;06-jun-83;128;11-jul-13;;26-Apr-84;28-jun-12;31-mar-14
C JYP UNIDOS NUESTRA SRA. DEL VALLE;AV. SAN MARTIN;104;COLOMBRES;CRUZ ALTA;24;4111;1;5;MIERCOLES 18 A 20 HS.;12-jul-97;86;26-sep-11;;16-jun-98;09-Jan-11;09-Jan-13
C JYP NAC DE DELFIN GALLO;NTRA. SRA DEL CARMEN ;S/N;DELFIN GALLO;CRUZ ALTA;24;4117;1;2;VIERNES 17.00 HS;20-nov-86;250;10-jun-13;;05-mar-87;01-Jan-13;01-Jan-15
C JYP NAC DE LAS CEJAS;RIVADAVIA;S/N;LAS CEJAS;CRUZ ALTA;24;4186;1;2;LU A VI  8 A 12HS;01-may-83;320;29-mar-10;;15-sep-88;22-oct-11;22-oct-13
C JYP NAC DE LASTENIA;TORQUINST Y LA PLATA;1423;LASTENIA;CRUZ ALTA;24;4111;1;2;MAR. VIE. 16:30 A 20 HS.;24-may-88;305;03-Aug-12;;23-jun-88;30-Apr-12;30-Apr-14
C JYP NAC 25 DE MAYO DE LASTENIA;REPUBLICA;335;LASTENIA;CRUZ ALTA;24;4111;1;2;SABADOS 10 A 12 HS.;14-may-93;600;19-sep-13;;13-sep-93;21-Apr-13;21-Apr-15
C JYP NAC 20 DE SETIEMBRE;AV.  AMERICA;122;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4111;1;2;LUN. A VIE. 8 A 12 HS.;26-jul-96;250;12-mar-12;;21-oct-96;02-oct-11;08-oct-13
C JYP DE LOS RALOS;AV SAN MARTIN, 4ª CUADRA;S/N;LOS RALOS;CRUZ ALTA;24;4182;1;2;LU A VIE 8 / 12 ;29-nov-85;700;11-jul-13;;27-feb-86;14-Apr-12;14-Apr-14
ASOC JYP NAC DE RANCHILLOS;RUTA 302    KM 25;S/N;RANCHILLOS;CRUZ ALTA;24;4178;1;2;LUN. A VIE. 9 A 11:30 HS.;02-may-85;260;14-Jan-13;;05-Aug-85;05-Aug-12;05-Aug-14
C JYP EL PROGRESO DE RANCHILLOS;AV. SOLANO PEÑA;50;RANCHILLOS;CRUZ ALTA;24;4178;1;5;S/ DATO;18-nov-98;50;22-Dec-11;;22-feb-99;17-sep-11;17-sep-13
C JYP NAC SAN ANDRES;AV. GRAL SAN MARTIN;85;SAN ANDRES;CRUZ ALTA;24;4111;1;1;LU A VIE 8 A 12 HS ;21-jun-91;180;05-sep-07;;06-Aug-91;30-Aug-11;30-Aug-13
ASOC. CIVIL CTRO. DE JYP NAC. Y PROV. SAN ANDRES;SAN MARTIN;483;SAN ANDRES;CRUZ ALTA;24;4111;1;5;S/ DATO;08-mar-12;70;20-jul-12;;20-jul-12;08-mar-12;08-mar-14
ASOC MUTUALISTA DE JYP FERROVIARIOS;CONGRESO P.B.;681;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 18 A 20 HS.;10-Dec-28;190;18-oct-11;;20-Apr-88;30-oct-10;30-oct-14
C JYP NAC 3ERA JUVENTUD-PRIMAVERA 91;GRAL. PAZ ;1852;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;L MA MI VI 9/11.30 ;22-oct-91;235;25-jun-09;;16-jun-92;18-jun-13;18-jun-15
C JYP NAC FERROV Y DEMAS LEYES PREV MUTUALISTA;LAS PIEDRAS;348;SAN MIGUEL TUCUMAN;CAPITAL;24;4000;1;5;LU, MIE. Y VIE. 9 A 12 HS;03-Apr-92;100;26-mar-10;;23-jun-92;30-jun-12;30-jun-14
C JYP NAC CELESTE Y BLANCO ING LA FLORIDA;M.T.ALVEAR;S/N;ING LA FLORIDA;CRUZ ALTA;24;4117;1;2;LU MIE Y VIE 16/20 HS;18-jun-84;150;11-jun-13;;22-Aug-84;13-feb-13;13-feb-15
C JYP UNIDAD Y PROGRESO LA FLORIDA;AV. PRINCIPAL PEDRO G. ME;S/N;LA FLORIDA;CRUZ ALTA;24;4117;1;1;LUN A VIE DE 8 A 12HS;13-feb-86;364;03-Aug-12;;21-jun-88;23-Apr-12;23-Apr-14
SOCIEDAD DE JYP NAC INGENIO SAN JUAN;AMERICO VESPUCIO;415;INGENIO SAN JUAN;CRUZ ALTA;24;4109;1;2;LUN. MIE. VIE. 8 A 12 HS.;25-sep-84;137;11-jun-13;;23-Aug-85;06-mar-12;09-mar-15
C JYP NAC DE ALTO VERDE;12 DE OCTUBRE;121;ALTO VERDE;CHILINGASTA;24;4153;1;5;LUN. A VIE.  8 A 11 HS.;29-may-98;300;16-oct-12;;19-may-98;20-may-12;30-Apr-14
C JYP NAC DE ARCADIA;25 DE MAYO;8;ARCADIA;CHICLIGASTA;24;4147;1;2;LUN. A VIE. 9 A 19 HS.;23-jun-91;400;14-oct-11;;29-Aug-91;09-sep-12;09-sep-14
C JUBIPEN CONCEPCION;GUEMES;336;CONCEPCION;CHICLINGASTA;24;4146;1;5;L-MA-J 17 A 20HS;15-oct-87;90;23-oct-12;;28-oct-87;21-sep-12;21-sep-14
ASOC NAC JYP FERROV Y DEMAS LEYES PREV;INM CONCEP Y P. MENA;2880;CONCEPCION;CHICLINGASTA;24;4146;1;2;LUN. Y VIE. 8 A 12 HS.;09-jul-90;369;14-oct-11;;05-oct-90;23-jul-09;23-jul-13
C JYP NAC FRAY MAMERTO ESQUIU DE LA CIUDAD DE CONCEPCION;JUANA MANZO Y BS AS;S/N;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4146;1;5;LUN. A VIE. 8 A 12 HS.;12-jul-94;335;17-oct-11;Bº SAN ANDRES;20-oct-95;05-sep-10;05-sep-13
ASOC MUTUAL DE JYP NAC DE VILLA LA TRINIDAD;COLON;S/N;VILLA LA TRINIDAD;CHICLIGASTA;24;4151;1;1;MAR. JUE. SAB. 18/20 HS.;13-jun-77;300;19-sep-13;LA TRINIDAD;13-Apr-87;20-may-13;31-Jan-15
ASOCIACION CIVIL CENTRO DE JYP SANTA RITA;JUAN M. MENDEZ;S/N;LA TRINIDAD;CHICLIGASTA;24;4151;1;1;LUN. A VIE.12 A 14 HS.;12-Aug-08;74;07-nov-13;;05-may-10;12-feb-12;12-feb-16
C JYP UNIDOS DE BELLA VISTA;9 DE JULIO;65;BELLA VISTA;LEALES;24;4168;1;2;LU. -MIE.- VI. 9 A 12 HS.;07-jul-84;390;03-Aug-12;;30-Jan-85;24-may-12;24-may-14
C JYP NAC DE HERRERA;ZONA RURAL;S/N;CAMPO DE HERRERA;FAMAILLA;24;4105;1;5;L-M Y V 8/30 A 10/30 HS;06-Jan-93;300;17-oct-11;;16-feb-93;19-Aug-10;19-Aug-12
C JYP NAC DE FAMAILLA;SAN MARTIN;504;FAMAILLA;FAMAILLA;24;4132;1;2;LU A SAB 8/12  15/18;25-Jan-84;490;28-jun-12;;19-oct-84;31-mar-12;31-mar-15
CENTRO DE JYP NUESTRA  SEÑORA DEL CARMEN DE FAMAILLA;SAN MARTIN ;45;FAMAILLA;FAMAILLA;24;4132;1;1;LUN A VIE 8/12 Y 14/18H;14-mar-01;290;14-mar-00;;20-may-01;03-Dec-10;03-Dec-13
ASOC. CIVIL CTRO. DE REC. CULT. Y TURISMO LOS LAPACHOS PARA LA 3º EDAD;BARTOLOME MITRE;646;FAMAILLA;FAMAILLA;24;4132;1;5;LU A VIE 8.30 A 12 HS;24-Jan-07;51;07-nov-13;;06-jun-08;20-may-13;20-mar-15
ASOC. CIVIL CTRO. DE JYP NAC. NUESTRA SEÑORA DE FATIMA;MANZANA C - CASA 13;S/N;CAMPO DE HERRERA;FAMAILLA;24;4105;1;5;S/ DATO;12-oct-12;60;22-may-13;60 VIVIENDAS;22-may-13;31-Dec-12;31-Dec-15
C JYP NAC DE LULES;ITALIA;147;LULES;FAMAILLA;24;4125;1;2;LUN. A VIE. 9 A 11 HS.;08-sep-84;378;21-feb-13;;10-oct-84;17-nov-12;17-nov-14
C JYP DE SAN PABLO;AV. SAN MARTIN;S/N;SAN PABLO;LULES;24;4129;1;2;LUN. A VIE. 9 A 13 HS.;11-jul-71;460;10-jun-13;;31-may-84;13-Dec-11;13-Dec-14
C JYP NAC DE GRANEROS;PTE. PERON;S/N;GRANEROS;GRANEROS;24;4159;1;2;LUN. A SAB. 8/12-14/19 HS;15-Apr-93;273;21-feb-13;;05-Aug-93;12-oct-11;12-oct-15
C JYP NAC DE LA COCHA;SARMIENTO;55;LA COCHA;LA COCHA;24;4162;1;5;LUN. MIE. VIE. 9 A 12 HS.;18-Dec-86;210;28-jun-12;;10-Dec-88;09-Apr-12;09-Apr-15
C JYP NAC DE LOS PIZARROS;PJE 2 DE ABRIL ;S/N;LOS PIZARROS;LA COCHA;24;4162;1;5;ULTIMO VIERNES DEL MES;23-sep-93;160;12-Dec-11;;11-Jan-94;05-Apr-11;05-Apr-13
C JYP NAC DE LA MADRID;ALBERDI ;S/N;LA MADRID;GRANEROS;24;4176;1;2;L-M Y J 17 A 20 HS;30-Apr-88;246;19-sep-13;;14-Apr-92;26-feb-13;02-Jan-14
