nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
C JYP MADRE TERESA DE CALCUTA;LAS HERAS;1129;LA RIOJA;CAPITAL;12;5300;25;1;LU. A VI. 9/11-17/19 HS.;13-mar-98;349;10-Apr-12;SANTA JUSTINA;01-Apr-98;20-mar-12;20-mar-14
CENTRO DE JYP CEFERINO NAMUNCURA;AV. RIVADAVIA;345;LA RIOJA;CAPITAL;12;5300;25;2;LUN A VIE 10 A 12 HS.;28-mar-98;176;23-Apr-12;;29-Apr-98;09-Apr-12;09-Apr-14
C JYP FERROVIARIOS;1 DE MARZO;742;LA RIOJA;CAPITAL;12;5300;25;2;LU A VI;15-Apr-51;290;08-Apr-08;;29-Apr-98;29-jul-07;28-jul-09
CENTRO DE JYP PROV, MUNICIPAL Y NAC 20 DE SETIEMBRE;BAZAN ,BUSTOS y JARAMILLO;S/N;LA RIOJA;CAPITAL;12;5300;25;9;;20-sep-97;350;20-Dec-08;;11-jun-98;24-oct-08;23-oct-12
C JYP JUAN MELIS;DARDO ROCHA;737;LA RIOJA;CAPITAL;12;5300;25;8;LUN A VIE 9 A 12 HS.;19-sep-99;309;04-jul-13;;13-Jan-99;17-may-13;16-may-15
CENTRO DE JYP SANTA TERESITA;CABO 1º RODRIGUEZ;2013;LA RIOJA;CAPITAL;12;5300;25;0;;19-oct-98;200;12-jul-11;;14-Jan-99;30-nov-10;29-nov-12
CTRO. DE JYP. NUEVA ESPERANZA;AV JUAN RAMIREZ D VELAZCO;654;CAPITAL;CAPITAL;12;5300;25;1;MAR. Y VIE. 9 A 11 HS.;17-jul-00;132;26-sep-11;;16-Apr-01;23-jul-11;23-jul-13
CENTRO DE JYP SAN PANTALEON;PUEYRREDON Y F MORENO ;S/N;LA RIOJA;CAPITAL;12;5300;25;1;l a v 8/12 17/ 19;03-jun-00;163;12-may-10;;29-Aug-01;06-mar-10;06-mar-12
CTRO. DE JYP SANTA ROSA DE LIMA;RIO PILCOMAYO;726;LA RIOJA;CAPITAL;12;5300;25;8;LUN. A VIE. 8/12-18/20 HS;19-sep-98;115;04-jul-13;DIFUNTA CORREA;21-mar-02;23-Apr-13;22-Apr-15
FED RIOJANA DE JYP DEPTO CAPITAL-INDEP-SANAGASTA-ANGEL V PEÑALOZA;MONTEAGUDO Y B. RINCON;S/N;LA RIOJA;CAPITAL;12;5300;25;9;;03-may-02;15;14-Dec-10;;22-jul-02;21-oct-10;20-oct-14
MUTUAL DE JYP DE LA DIRECCION NACIONAL DE VIALIDAD;COPIADO ESQ. R.V.PEÑALOZA;S/Nº;LA RIOJA;CAPITAL;12;5300;25;5;L A V 10 A 12;20-Aug-00;96;12-nov-09;;15-Apr-04;30-Apr-11;29-Apr-13
CENTRO DE JYP 20 DE MAYO;CHAPARRO Y PROYECTADA;S/N;LA RIOJA;CAPITAL;12;5300;25;9;LUNES A VIERNES 8 A 21;14-nov-02;67;29-may-12;;14-may-04;14-sep-11;13-sep-13
ASOCIACION DE MAESTROS Y PROFESORES DE LA RIOJA;DALMACIO VELEZ SARFIELD;337;CAPITAL;LA RIOJA;12;5300;25;0;l a v 10/13;02-Apr-97;368;15-Aug-09;;20-Apr-05;03-mar-09;03-mar-11
 CENTRO DE JYP CRISTO REY ;TAMA;925;LA RIOJA;CAPITAL;12;5300;25;5;S / DATO;17-mar-07;30;10-jul-08;;10-jul-08;27-feb-07;27-feb-09
ASOC. MUTUAL 17 DE JULIO DE JYP DE LA DIR. PROV. VIALIDAD DE LA RIOJA;JURAMENTO;104;CAPITAL;;12;5300;25;2;;17-jul-99;568;13-mar-09;;13-mar-09;05-Dec-08;05-Dec-12
ACRe ASOCIACION CIVIL RENACER;DORREGO;160;CAPITAL;CAPITAL;12;5300;25;4;LU A VI 9/12-17/21 HS;20-Jan-08;64;04-jul-13;;23-nov-09;30-Apr-13;29-Apr-15
CENTRO INDEPENDIENTE EL CLUB DEL ABUELO;DEL CARMEN;S/N;LA RIOJA;CAPITAL;12;5300;25;5;S/ DATO;10-Dec-09;84;07-jul-11;;07-jul-11;10-Dec-09;10-Dec-12
"ASOC. CIVIL ""CLUB DE TEJO LA RIOJA - CAPITAL""";OIDOR MATIENZO;20;CAPITAL;CAPITAL;12;5300;25;5;S/ DATO;17-Aug-11;53;04-Dec-12;;04-Dec-12;18-jun-12;17-Aug-13
CTRO. DE JYP FLORIDA;RAMIREZ VELAZCO;4205;LA RIOJA;CAPITAL;12;5300;25;0;;09-Apr-13;30;29-nov-13;B° LA FLORIDA;29-nov-13;09-Apr-13;09-Apr-15
CTRO. PENS. VET. DE GUERRA SENTIMIENTO ARGENTINO;PASAJE CABO DE HORNOS;56;LA RIOJA;CAPITAL;12;5300;25;2;LUN. A VIE. 7/12-16/20 HS;01-may-96;590;28-Aug-13;;04-nov-97;29-jun-13;28-jun-15
C COSTEÑO DE JYP AMINGA;NIÑO ALCALDE ;S/Nº;AMINGA;CASTRO BARRO;12;5300;25;2;LUNA VI 9-12 Y 17-20HS;08-Aug-86;300;23-mar-12;;17-nov-86;17-mar-12;17-mar-14
C JYP DE ANILLACO;CATAMARCA     S/N;;ANILLACO;CASTRO BARROS;12;5301;25;1;LU A VI 8 A 13 HS;20-mar-93;135;25-nov-11;;10-Jan-94;07-nov-11;07-nov-13
ASOC MUT JYP DE CHILECITO - LA RIOJA -;EL MAESTRO;44;CHILECITO;CHILECITO;12;5360;25;2;LU A VIE 10/12 17/20 HS ;16-jun-53;253;08-Apr-08;;10-jul-84;30-jun-07;29-jun-09
ASOC JYP NAPROMU;SAN MARTIN;272;CHILECITO;CHILECITO;12;5360;25;1;LUN. A VIE. 10 A 12 HS.;02-Dec-83;368;04-jul-13;;30-Apr-84;15-Apr-13;14-Apr-15
